itemLabel,chemicalFormula,mohsHardness,densityValue,colorLabel,crystalSystemLabel,refractiveIndex,mainLocationLabel,image,itemURI
http://www.wikidata.org/entity/Q29730037,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Spudomene%20variet%C3%A0%20kunzite%2C%20da%20minas%20geiras%2C%20brasile.JPG,http://www.wikidata.org/entity/Q29730037
http://www.wikidata.org/entity/Q29791246,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Citrino%2C%20quarzo%20affumicato%20da%20brasile%20e%20madagascar.JPG,http://www.wikidata.org/entity/Q29791246
http://www.wikidata.org/entity/Q31384432,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Strands%20of%20freshwater%20pearls%20threaded%20on%20silk.jpg,http://www.wikidata.org/entity/Q31384432
http://www.wikidata.org/entity/Q42898375,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Vajra%20MA-5212-IMG%208446-gradient.jpg,http://www.wikidata.org/entity/Q42898375
http://www.wikidata.org/entity/Q28449765,,,,http://www.wikidata.org/entity/Q1088,,,,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Blue%20Lily%20Diamond.png,http://www.wikidata.org/entity/Q28449765
http://www.wikidata.org/entity/Q48791607,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Multicolor%20Cubic%20zirconia.JPG,http://www.wikidata.org/entity/Q48791607
http://www.wikidata.org/entity/Q55663158,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Hydrothermal%20emeralds.jpg,http://www.wikidata.org/entity/Q55663158
http://www.wikidata.org/entity/Q29386288,,,,http://www.wikidata.org/entity/Q3142,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Brosch%20av%20korall%2C%20del%20av%20garnityr%20-%20Hallwylska%20museet%20-%20109864.tif,http://www.wikidata.org/entity/Q29386288
http://www.wikidata.org/entity/Q83704173,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Seal%20engraved%20with%20a%20scorpio-AOD%20287-IMG%203717.JPG,http://www.wikidata.org/entity/Q83704173
http://www.wikidata.org/entity/Q83704629,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Seal%20engraved%20with%20an%20ox-AO%207121-IMG%203701.JPG,http://www.wikidata.org/entity/Q83704629
http://www.wikidata.org/entity/Q83704789,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Seal%20engraved%20with%20a%20three-petal%20flower%20over%20a%20pair%20of%20wings-MNB%201926-IMG%203704.JPG,http://www.wikidata.org/entity/Q83704789
http://www.wikidata.org/entity/Q83704969,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Seal%20engraved%20with%20a%20scorpio-MNB%201224-IMG%203707.JPG,http://www.wikidata.org/entity/Q83704969
http://www.wikidata.org/entity/Q83704983,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Seal%20engraved%20with%20a%20reclining%20winged%20sheep-AOD%20267-IMG%203711.JPG,http://www.wikidata.org/entity/Q83704983
http://www.wikidata.org/entity/Q83705695,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Seal%20engraved%20with%20a%20woman%20under%20a%20baldaquin-AO%206123-IMG%203713.JPG,http://www.wikidata.org/entity/Q83705695
http://www.wikidata.org/entity/Q279440,,,,,,,,,http://www.wikidata.org/entity/Q279440
http://www.wikidata.org/entity/Q79058,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Amethyst.%20Magaliesburg%2C%20South%20Africa.jpg,http://www.wikidata.org/entity/Q79058
http://www.wikidata.org/entity/Q123314,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Achat%20Mineral%20aus%20Brasilien.jpg,http://www.wikidata.org/entity/Q123314
http://www.wikidata.org/entity/Q175089,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/JadeColours.jpg,http://www.wikidata.org/entity/Q175089
http://www.wikidata.org/entity/Q310948,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Platinum-nugget.jpg,http://www.wikidata.org/entity/Q310948
http://www.wikidata.org/entity/Q110686457,,,,,,,,,http://www.wikidata.org/entity/Q110686457
http://www.wikidata.org/entity/Q110688445,,,,,,,,,http://www.wikidata.org/entity/Q110688445
http://www.wikidata.org/entity/Q110693126,,,,,,,,,http://www.wikidata.org/entity/Q110693126
http://www.wikidata.org/entity/Q110693154,,,,,,,,,http://www.wikidata.org/entity/Q110693154
http://www.wikidata.org/entity/Q110849112,,,,,,,,,http://www.wikidata.org/entity/Q110849112
http://www.wikidata.org/entity/Q111244412,,,,,,,,,http://www.wikidata.org/entity/Q111244412
http://www.wikidata.org/entity/Q115631937,,,,,,,,,http://www.wikidata.org/entity/Q115631937
http://www.wikidata.org/entity/Q118289287,,,,,,,,,http://www.wikidata.org/entity/Q118289287
http://www.wikidata.org/entity/Q121890693,,,,,,,,,http://www.wikidata.org/entity/Q121890693
http://www.wikidata.org/entity/Q122418066,,,,,,,,,http://www.wikidata.org/entity/Q122418066
http://www.wikidata.org/entity/Q104085,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Crb-gmbh%20querschnitt-asphaltbohrkern.jpg,http://www.wikidata.org/entity/Q104085
http://www.wikidata.org/entity/Q132674776,,,,,,,,,http://www.wikidata.org/entity/Q132674776
http://www.wikidata.org/entity/Q132732299,,,,,,,,,http://www.wikidata.org/entity/Q132732299
http://www.wikidata.org/entity/Q132736425,,,,,,,,,http://www.wikidata.org/entity/Q132736425
http://www.wikidata.org/entity/Q132748686,,,,,,,,,http://www.wikidata.org/entity/Q132748686
http://www.wikidata.org/entity/Q133574068,,,,,,,,,http://www.wikidata.org/entity/Q133574068
http://www.wikidata.org/entity/Q135083397,,,,,,,,,http://www.wikidata.org/entity/Q135083397
http://www.wikidata.org/entity/Q136733906,,,,,,,,,http://www.wikidata.org/entity/Q136733906
http://www.wikidata.org/entity/Q136812798,,,,,,,,,http://www.wikidata.org/entity/Q136812798
http://www.wikidata.org/entity/Q136812803,,,,,,,,,http://www.wikidata.org/entity/Q136812803
http://www.wikidata.org/entity/Q136812808,,,,,,,,,http://www.wikidata.org/entity/Q136812808
http://www.wikidata.org/entity/Q105439,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Anhydrite%20Arnave.jpg,http://www.wikidata.org/entity/Q105439
http://www.wikidata.org/entity/Q127583,,,,http://www.wikidata.org/entity/Q1088,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Sapphire01.jpg,http://www.wikidata.org/entity/Q127583
http://www.wikidata.org/entity/Q102151,,,,http://www.wikidata.org/entity/Q1088,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Fluorine%20MHNT.MIN.2010.16.1.jpg,http://www.wikidata.org/entity/Q102151
http://www.wikidata.org/entity/Q102151,,,,http://www.wikidata.org/entity/Q3133,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Fluorine%20MHNT.MIN.2010.16.1.jpg,http://www.wikidata.org/entity/Q102151
http://www.wikidata.org/entity/Q102151,,,,http://www.wikidata.org/entity/Q47071,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Fluorine%20MHNT.MIN.2010.16.1.jpg,http://www.wikidata.org/entity/Q102151
http://www.wikidata.org/entity/Q131762268,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Apollo%20synthetic%20diamond.jpg,http://www.wikidata.org/entity/Q131762268
http://www.wikidata.org/entity/Q131909448,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Tumbled%20gemstone%20pebbles%20arp.jpg,http://www.wikidata.org/entity/Q131909448
http://www.wikidata.org/entity/Q117719,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Boleite-md83a.jpg,http://www.wikidata.org/entity/Q117719
http://www.wikidata.org/entity/Q125177,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Niedermayrite-87045.jpg,http://www.wikidata.org/entity/Q125177
http://www.wikidata.org/entity/Q156526,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Angl%C3%A9site-touizit%20Monocristal.jpg,http://www.wikidata.org/entity/Q156526
http://www.wikidata.org/entity/Q176153,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Murdochite-1222223.jpg,http://www.wikidata.org/entity/Q176153
http://www.wikidata.org/entity/Q184196,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Barite%20-%20Cerro%20Warihuyn%2C%20Miraflores%2C%20Huamalies%2C%20Huanuco%2C%20Peru.jpg,http://www.wikidata.org/entity/Q184196
http://www.wikidata.org/entity/Q82658,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Gypse%20Caresse.jpg,http://www.wikidata.org/entity/Q82658
http://www.wikidata.org/entity/Q320694,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Abhurite%20-%20Shipwreck%20Hydra%2C%20South%20coast%20of%20Norway.jpg,http://www.wikidata.org/entity/Q320694
http://www.wikidata.org/entity/Q324369,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Carneool.jpg,http://www.wikidata.org/entity/Q324369
http://www.wikidata.org/entity/Q336394,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Kogarkoite%20-%20Poudrette%20quarry%2C%20Mont%20Saint-Hilaire%2C%20Quebec%2C%20Canada.jpg,http://www.wikidata.org/entity/Q336394
http://www.wikidata.org/entity/Q338106,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Mineraly.sk%20-%20alunit%20m.jpg,http://www.wikidata.org/entity/Q338106
http://www.wikidata.org/entity/Q288732,,,,http://www.wikidata.org/entity/Q3133,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Gemperidot.JPG,http://www.wikidata.org/entity/Q288732
http://www.wikidata.org/entity/Q122998805,,,,http://www.wikidata.org/entity/Q3257809,,,,,http://www.wikidata.org/entity/Q122998805
http://www.wikidata.org/entity/Q122998741,,,,http://www.wikidata.org/entity/Q122998749,,,,,http://www.wikidata.org/entity/Q122998741
http://www.wikidata.org/entity/Q43436,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Various%20pearls.jpg,http://www.wikidata.org/entity/Q43436
http://www.wikidata.org/entity/Q133538988,,,,http://www.wikidata.org/entity/Q428124,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Purple%20gemstones%202%20600x600.jpg,http://www.wikidata.org/entity/Q133538988
http://www.wikidata.org/entity/Q133538988,,,,http://www.wikidata.org/entity/Q604079,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Purple%20gemstones%202%20600x600.jpg,http://www.wikidata.org/entity/Q133538988
http://www.wikidata.org/entity/Q133538988,,,,http://www.wikidata.org/entity/Q2468392,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Purple%20gemstones%202%20600x600.jpg,http://www.wikidata.org/entity/Q133538988
http://www.wikidata.org/entity/Q133538988,,,,http://www.wikidata.org/entity/Q3257809,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Purple%20gemstones%202%20600x600.jpg,http://www.wikidata.org/entity/Q133538988
http://www.wikidata.org/entity/Q102151,,,,http://www.wikidata.org/entity/Q208045,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Fluorine%20MHNT.MIN.2010.16.1.jpg,http://www.wikidata.org/entity/Q102151
http://www.wikidata.org/entity/Q102151,,,,http://www.wikidata.org/entity/Q429220,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Fluorine%20MHNT.MIN.2010.16.1.jpg,http://www.wikidata.org/entity/Q102151
http://www.wikidata.org/entity/Q102151,,,,http://www.wikidata.org/entity/Q1396399,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Fluorine%20MHNT.MIN.2010.16.1.jpg,http://www.wikidata.org/entity/Q102151
http://www.wikidata.org/entity/Q102151,,,,http://www.wikidata.org/entity/Q3257809,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Fluorine%20MHNT.MIN.2010.16.1.jpg,http://www.wikidata.org/entity/Q102151
http://www.wikidata.org/entity/Q102151,,,,http://www.wikidata.org/entity/Q5069879,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Fluorine%20MHNT.MIN.2010.16.1.jpg,http://www.wikidata.org/entity/Q102151
http://www.wikidata.org/entity/Q133538988,,,,http://www.wikidata.org/entity/Q12894641,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Purple%20gemstones%202%20600x600.jpg,http://www.wikidata.org/entity/Q133538988
